date,J-JM,OI-Y,L-MA,P-Y
2018-08-06,-0.00149498,0.00138978,0.00465791,-0.00121178
2018-08-07,0.00124511,-0.00289049,-0.00069928,-0.00096463
2018-08-08,0.00063206,-0.0009942,-0.00574193,0.00024886
2018-08-09,0.0037386,0.00054473,0.00786724,-0.00042793
2018-08-10,-0.00124838,-0.00084807,-0.00262107,0.00208081
2018-08-13,-0.00159829,0.00133081,-6.234e-05,0.00056631
2018-08-14,0.00015906,0.00051278,0.0052035,-0.00279025
2018-08-15,0.00035398,-0.0009309,-0.00138837,-0.00048792
2018-08-16,-0.00434878,9.422e-05,-0.00017677,0.00103609
2018-08-17,-0.00443989,-0.00339173,0.0007789,5.971e-05
2018-08-20,0.00367847,-0.00411754,0.0066083,0.00142306
2018-08-21,0.00229899,0.00059065,0.0001091,-0.0002385
2018-08-22,0.00110057,-0.00310963,0.00142288,0.00084487
2018-08-23,0.00272272,0.00296072,-0.00343847,-0.00054622
2018-08-24,-0.00241818,0.00065365,0.00172992,-0.00047696
2018-08-27,-0.00062655,0.00139074,-0.0015846,0.00016901
2018-08-28,-0.00284181,0.00083118,0.00158236,0.00068585
2018-08-29,-0.00163367,0.00113535,0.00123353,0.00042712
2018-08-30,0.00743841,-0.00144909,0.00074394,0.00081416
2018-08-31,0.00073271,0.0,0.00341391,0.00044643
2018-09-03,0.00144387,-0.00012619,-0.00047189,-0.00165601
2018-09-04,-0.0006442,0.0006731,0.00091589,-5.96e-05
2018-09-05,0.00100274,-0.00095642,0.0039102,0.00028807
2018-09-06,0.00143105,-0.00067329,-0.00110412,-0.00048659
2018-09-07,0.00246504,0.00058953,0.0061617,-0.00217582
2018-09-10,0.00032074,-0.00044188,0.00044878,-0.00101561
2018-09-11,0.00013308,0.00063154,0.00022429,-0.00027629
2018-09-12,-0.00015507,-0.00043153,-0.00647957,0.00180927
2018-09-13,-0.00028197,-0.00224034,-0.00421309,-0.00173161
2018-09-14,0.0,8.582e-05,-0.00028332,0.00097697
2018-09-17,0.0,0.0,-0.00030702,0.00078679
2018-09-18,0.0,0.0,-0.00427594,0.00280632
2018-09-19,0.0,0.0,0.00448885,0.00065496
2018-09-20,0.0,0.0,-0.00141244,0.00140823
2018-09-21,0.0,0.0,0.00260181,0.00102993
2018-09-25,0.0,0.00038065,-0.0023733,0.00095962
2018-09-26,0.00156762,-0.00026287,-0.00178302,-0.00026686
2018-09-27,0.00110301,0.0,-0.00126503,-7.909e-05
2018-09-28,-0.00038588,0.0,-0.00311678,0.00126553
